,2010-HOLDING,2010-COUNT,2010-REVENUE
0,Ad Venture Interactive,1,68466000
3,Alloy Media & Marketing,1,39310000
8,D.L. Ryan Cos.,4,105848000
13,FTI Consulting,1,77279000
19,Harte-Hanks,1,138585000
21,Hawkeye Group,1,72570000
23,Hearst Corp.,1,136100000
24,Huntsworth,2,105002000
26,IMC2,1,48000000
30,LBi International,1,46000000
37,Next Fifteen Communications Group,2,25175000
39,Project WorldWide,2,140499000
44,RiverNorth Group,3,68661000
45,Ruder Finn Group,2,93182000
47,TMP Worldwide,1,69268000
48,Viad Corp.,1,55900000
